"sample","stromal","immune","estimate","purity","type","sam","cancer_type"
"C3N-03076_r",1153.64000774204,-590.401249347392,563.238758394644,0.772730785323788,"r","C3N-03076","LUSC"
"C3N-03092_r",1188.76356586373,3095.58568905111,4284.34925491483,0.330578388443657,"r","C3N-03092","LUSC"
"C3N-03093_r",1427.61768490462,2893.8287331667,4321.44641807131,0.325434229568642,"r","C3N-03093","LUSC"
"C3N-03204_r",-1795.11110172523,-2277.34441939107,-4072.4555211163,0.999974094712945,"r","C3N-03204","LUSC"
"C3N-03424_r",2175.06584079232,2990.74533558317,5165.81117637548,0.206041541366252,"r","C3N-03424","LUSC"
"C3N-03425_r",-638.932916131824,172.158536024662,-466.774380107162,0.859518163522445,"r","C3N-03425","LUSC"
"C3N-03441_r",775.609902773563,1449.49239787589,2225.10230064946,0.596545482506244,"r","C3N-03441","LUSC"
"C3N-03486_r",-1129.01130744614,1278.5684067344,149.557099288259,0.809826241956747,"r","C3N-03486","LUSC"
"C3N-03662_r",1311.05987747276,-2010.74953699255,-699.689659519789,0.876486769781126,"r","C3N-03662","LUSC"
"C3N-03848_r",2687.43584835169,3317.96248182279,6005.39833017448,0.0841865506306917,"r","C3N-03848","LUSC"
"C3N-03851_r",-1355.51148568582,-1545.18734258595,-2900.69882827178,0.983986911400449,"r","C3N-03851","LUSC"
"C3N-03875_r",-596.117137757014,209.449971580814,-386.6671661762,0.853448891259038,"r","C3N-03875","LUSC"
"C3N-03877_r",-1429.69919585762,-3002.82131390644,-4432.52050976406,0.998957973620135,"r","C3N-03877","LUSC"
"C3N-03880_r",34.0221122854649,1696.94612168581,1730.96823397128,0.65313951142664,"r","C3N-03880","LUSC"
"C3N-03882_r",-2673.6413471491,-2389.37817679715,-5063.01952394624,0.990464834803254,"r","C3N-03882","LUSC"
"C3N-03886_r",-1708.1450093558,-2253.07697796771,-3961.22198732351,0.999723281971643,"r","C3N-03886","LUSC"
"C3N-04124_r",2307.60770525705,1347.56413831865,3655.1718435757,0.416209236236106,"r","C3N-04124","LUSC"
"C3N-04127_r",1980.16272939524,2708.01869440523,4688.18142380048,0.274085323529744,"r","C3N-04127","LUSC"
"C3N-04155_r",-2061.48848416518,-2910.50162316563,-4971.99010733081,0.99221719520545,"r","C3N-04155","LUSC"
"C3N-04162_r",-2249.92998100983,-1401.93035996694,-3651.86034097677,0.997624822714788,"r","C3N-04162","LUSC"
"C3N-03884_r",796.532181029841,1771.89888909404,2568.43107012388,0.555357870164679,"r","C3N-03884","PAAD"
"C3L-03123_r",230.326765024738,3251.60674154473,3481.93350656947,0.439194322023595,"r","C3L-03123","PAAD"
