,breast,STAD,colon,HNSC,ovary,Renal,LUSC,LUAD,UCEC,PRAD,PAAD,PedBrain,GBM,HCC
CDIPT,0.3032,0.3143,0.1631,0.1778,0.5053,0.4052,0.4129,0.4805,0.3694,0.0669,0.2225,0.5643,0.568,0.7276
PGRMC2,0.3359,0.0667,0.1745,0.2,0.2798,0.2953,0.3532,0.415,0.3696,0.1684,0.2425,0.1856,0.2443,0.6132
ARIH2,0.3478,0.2382,0.1044,0.6176,0.4561,0.2119,0.6911,0.4769,0.3827,,0.1111,0.4618,0.074,0.2102
TUBGCP3,0.453,-0.0463,0.2278,0.6891,0.4287,0.2242,0.8543,0.6995,0.5514,0.1933,0.1064,0.296,0.6293,0.5115
SEC24B,0.5061,0.1169,0.2849,0.5632,0.631,0.2867,0.7094,0.6185,0.4557,0.1924,0.1622,0.3553,0.4386,0.6631
CFDP1,0.4702,0.1451,0.2791,0.7471,0.4532,0.8351,0.7347,0.8127,0.6688,0.1345,0.4254,0.4956,0.5186,0.4129
RBM14,0.5231,0.1441,0.2755,0.3844,0.0949,0.1546,0.4038,0.3413,0.2632,-0.0188,0.0471,0.4196,0.4414,0.4631
LYPLA1,0.7053,0.1752,0.0967,0.7337,0.5583,0.5037,0.6467,0.6803,0.4094,0.3816,0.0642,0.4866,0.3775,0.6488
CDC42EP2,0.2456,0.0664,,0.2753,0.1026,0.5432,0.4528,0.3994,0.479,,0.1288,,0.6106,0.4222
EMG1,0.4223,0.2274,0.2775,0.6243,0.4212,0.181,0.5588,0.405,0.5817,0.1001,0.2937,0.4833,0.3492,0.4563
IFI30,0.5011,0.4381,0.4341,0.6053,0.5829,0.6273,0.6157,0.4625,0.6868,0.4732,0.4944,0.6433,0.7587,0.8328
C1D,-0.1491,0.1726,-0.2657,0.1079,-0.0084,-0.1183,0.1369,0.1003,0.2419,,0.1442,,0.025,-0.251
OLFM1,0.2522,,,0.5576,,0.1219,0.6435,0.4199,,,0.2287,0.4915,0.6336,
TIMM17A,0.3201,0.4837,0.1956,0.3553,0.2872,0.2349,0.2628,0.2017,0.197,,0.0119,,0.0617,0.3834
N4BP2L2,0.2068,,,0.4232,0.1645,0.0802,0.3299,0.5289,0.3869,,-0.1316,,0.4612,-0.0427
ZER1,0.4502,0.15,,0.6098,0.1787,0.4833,0.4638,0.5686,0.3831,-0.0106,0.1259,0.4398,0.5049,0.1467
MCRS1,0.1095,0.1505,,0.249,0.1198,-0.0452,0.3547,0.2178,0.2468,,0.0527,,0.0913,0.2498
